salary,job_id,bottomSalary,company,time,address,topSalary,job_name
15-20万/年,92707844,12.5,南京云帐房网络科技有限公司北京分...,12-05,北京-东城区,16.6666666667,机器学习（图像识别方向）高级工程师
1.5-2万/月,83600677,15.0,深圳市中科新业信息科技发展有限公司,12-05,深圳-南山区,20.0,平台开发工程师
1-1.5万/月,89388980,10.0,武汉盛博汇信息技术有限公司,12-05,武汉-江夏区,15.0,BI研发项目经理
2-2.5万/月,89740606,20.0,掌上糖医,12-05,杭州,25.0,Java资深工程师
0.5-2万/月,95242878,5.0,远江盛邦（北京）网络安全科技股份...,12-05,北京-海淀区,20.0,配置管理工程师
1-1.5万/月,86744937,10.0,航天科工智慧产业发展有限公司,12-05,北京-海淀区,15.0,项目经理（智慧公安）
10-15万/年,81554878,8.33333333333,海视云科技有限公司,12-05,青岛-崂山区,12.5,软件测试工程师
1.5-2万/月,89817994,15.0,杭州电魂网络科技股份有限公司,12-05,杭州-滨江区,20.0,数据开发
1-1.8万/月,95696005,10.0,溢达集团,12-05,佛山,18.0,数据开发工程师
1-1.5万/月,94385152,10.0,上海易宝软件有限公司深圳分公司,12-05,西安-高新技术...,15.0,Java高级开发工程师（西安）
1-1.5万/月,74018324,10.0,上海动景网络科技有限公司,12-05,上海-闵行区,15.0,JAVA高级软件工程师
0.6-1万/月,92295857,6.0,江苏恒云太信息科技有限公司,12-05,无锡,10.0,系统运维工程师
15-25万/年,93268210,12.5,艾施科（杭州）科技有限公司,12-05,杭州-余杭区,20.8333333333,机器人自主姿态控制/自动驾驶算法工程师
1.5-3万/月,95798453,15.0,深圳市思立创科技有限公司,12-05,深圳,30.0,数字芯片设计工程师
2.5-3万/月,88556301,25.0,上海智驾电子科技有限公司,12-05,上海-浦东新区,30.0,AI深度学习视觉算法工程师
1.5-3万/月,95953908,15.0,中控科技集团有限公司,12-05,杭州-滨江区,30.0,高级软件开发工程师
1-2.5万/月,95858815,10.0,北京京旅盛宏投资管理有限公司,12-05,北京-朝阳区,25.0,H5开发工程师
1.5-2万/月,96315611,15.0,北京花生便利科技有限公司,12-05,异地招聘,20.0,数据产品经理
20-30万/年,96562610,16.6666666667,杭州高新区人才开发中心,12-05,杭州-滨江区,25.0,运维工程师
0.6-1万/月,75489711,6.0,上海绿联软件股份有限公司,12-05,合肥-蜀山区,10.0,软件开发工程师
15-20万/年,91344576,12.5,银联数据服务有限公司,12-05,上海-浦东新区,16.6666666667,数据开发工程师
1.2-2万/月,96450794,12.0,四川神琥科技有限公司,12-05,成都-武侯区,20.0,网络大数据开发部副经理
0.3-1万/月,95601613,3.0,重庆佳新晨网络科技有限公司,12-05,重庆-渝中区,10.0,Web前端开发工程师
1-1.5万/月,95049840,10.0,北京融链科技有限公司,12-05,武汉-武昌区,15.0,软件项目经理
2.5-3万/月,88189164,25.0,安裘密信息科技（上海）有限公司,12-05,上海-浦东新区,30.0,CTO(英语)
0.6-1万/月,95305909,6.0,北京中知智慧科技有限公司,12-05,北京-海淀区,10.0,自然语言处理工程师
1.5-2万/月,93438968,15.0,上海腾源软件有限公司,12-05,上海,20.0,爬虫开发工程师
1-1.5万/月,92129741,10.0,深圳汇思诺科技有限公司,12-05,深圳-南山区,15.0,数据挖掘（偏文本挖掘，中/高级）工程师
2-2.5万/月,96086770,20.0,即科金融信息服务（上海）有限公司,12-05,上海-杨浦区,25.0,风险模型开发
1-1.5万/月,92854497,10.0,深圳星桥数据技术有限公司,12-05,深圳-南山区,15.0,Linux运维工程师
2.5-3万/月,92676539,25.0,嘉兴安越企业管理咨询有限公司,12-05,异地招聘,30.0,高级网络信息安全工程师
1.5-2万/月,83840732,15.0,大连天立软件有限公司,12-05,上海-黄浦区,20.0,Data Scientist
1-1.5万/月,93675691,10.0,翰长生物医疗（深圳）有限公司,12-05,深圳-南山区,15.0,算法工程师
0.8-1万/月,91116749,8.0,广州易和医疗技术开发有限公司,12-05,广州-黄埔区,10.0,系统开发工程师
0.6-1万/月,88730459,6.0,尚游网络技术（上海）有限公司,12-05,上海-浦东新区,10.0,游戏运维工程师
1-1.5万/月,95281729,10.0,深圳鼎泰企业管理咨询股份有限公司,12-05,深圳-宝安区,15.0,Java开发工程师
0.7-2万/月,91979562,7.0,上海商锦信息技术有限公司,12-05,上海-宝山区,20.0,项目经理
0.6-1万/月,91150941,6.0,江苏中海达海洋信息技术有限公司,12-05,南京-浦口区,10.0,ARM Linux开发工程师
0.4-1万/月,93380704,4.0,武汉伯远生物科技有限公司,12-05,武汉-江夏区,10.0,PHP开发工程师
1-1.5万/月,96565353,10.0,上海云力信息技术有限公司,12-05,上海-浦东新区,15.0,云平台软件开发工程师
2-2.5万/月,96251516,20.0,北京环球友邻科技有限公司,12-05,北京-朝阳区,25.0,PHP开发总监
1.5-2万/月,86604558,15.0,上海伟梦物联网科技有限公司,12-05,上海-杨浦区,20.0,高级Java开发工程师
1-1.5万/月,54347575,10.0,北京地拓科技发展有限公司,12-05,北京-海淀区,15.0,JAVA开发工程师
