company,create_time,job_city,job_id,job_name,key_word,salary,salary_avg,salary_max,salary_min
深圳市伙伴产业服务有限公司东莞分...,2018-04-16 00:00:00,东莞,95213312,房地产项目经理,项目经理,25-30万/年,35.42,25.0,20.833333333333336
东莞雅剑装饰有限公司,2018-04-15 00:00:00,东莞-长安镇,82769536,项目经理,项目经理,0.8-1万/月,14.0,10.0,8.0
广东力人科技有限公司,2018-04-14 00:00:00,东莞-清溪镇,88477918,高级模具项目经理,项目经理,6-8千/月,11.0,8.0,6.0
广东绿森园林建设有限公司,2018-04-14 00:00:00,东莞-塘厦镇,71301345,项目经理,项目经理,0.8-1.2万/月,16.0,12.0,8.0
深圳卓越城市更新集团有限公司,2018-04-13 00:00:00,东莞,93892960,东莞-项目经理,项目经理,2.5-3万/月,42.5,30.0,25.0
瀚华金控股份有限公司,2018-04-13 00:00:00,东莞,68498331,企业金融部高级项目经理（东莞营销中心）,项目经理,0.8-1万/月,14.0,10.0,8.0
东莞市华诚致信会计师事务所（普通...,2018-04-12 00:00:00,东莞-南城区,99668810,审计项目经理,项目经理,1-1.5万/月,20.0,15.0,10.0
东莞市富阳机电工程有限公司,2018-04-11 00:00:00,东莞,96296156,项目经理,项目经理,10-15万/年,16.67,12.5,8.333333333333334
广东劲胜智能集团股份有限公司,2018-04-11 00:00:00,东莞,100327789,项目经理（新能源电池壳）,项目经理,1-2.5万/月,30.0,25.0,10.0
国金黄金股份有限公司,2018-04-11 00:00:00,异地招聘,100667928,项目经理（年薪15-20万+高提成+高档住宿+六险一金）,项目经理,0.8-1万/月,14.0,10.0,8.0
东莞市鸿韬高分子科技有限公司,2018-04-10 00:00:00,东莞,94606293,项目经理,项目经理,6-8千/月,11.0,8.0,6.0
广东维信智联科技有限公司,2018-04-10 00:00:00,东莞,98126318,软件项目经理,项目经理,0.6-1.2万/月,15.0,12.0,6.0
东莞市惠宁信息科技有限公司,2018-04-10 00:00:00,东莞-东城区,96102307,项目经理,项目经理,6-8千/月,11.0,8.0,6.0
东莞市莞城智成义贸易商行,2018-04-09 00:00:00,东莞,100042462,线材项目经理,项目经理,1.5-2.5万/月,32.5,25.0,15.0
广东世通投资控股集团有限公司,2018-04-09 00:00:00,东莞-常平镇,95563452,项目经理,项目经理,0.8-1万/月,14.0,10.0,8.0
东莞喜鹊金服信息科技有限公司,2018-04-09 00:00:00,东莞-南城区,96625887,IT项目经理,项目经理,6-8千/月,11.0,8.0,6.0
广州市志趣信息技术有限公司,2018-04-08 00:00:00,东莞,99926433,运营经理/项目经理,项目经理,0.6-1万/月,13.0,10.0,6.0
东莞市高谷信息科技有限公司,2018-04-08 00:00:00,东莞,100622253,项目经理,项目经理,0.6-1万/月,13.0,10.0,6.0
东莞市羽泰广告装饰有限公司,2018-04-07 00:00:00,异地招聘,99388616,工程项目经理（广州）,项目经理,6-8千/月,11.0,8.0,6.0
东莞市那里文化传播有限公司,2018-04-07 00:00:00,东莞-东城区,95645437,项目经理,项目经理,6-8千/月,11.0,8.0,6.0
仕誉科技（深圳）有限公司,2018-04-06 00:00:00,东莞-大朗镇,99974753,项目经理,项目经理,0.6-1.2万/月,15.0,12.0,6.0
东莞市瑞亚建筑工程有限公司,2018-04-04 00:00:00,异地招聘,97669954,工程项目经理,项目经理,1-1.5万/月,20.0,15.0,10.0
广东海悟科技有限公司,2018-04-03 00:00:00,东莞,90658008,数据中心代维项目经理,项目经理,1.5-2万/月,27.5,20.0,15.0
广东华阳路桥建设有限公司,2018-04-03 00:00:00,东莞-莞城区,100464649,项目经理,项目经理,1.5-2.5万/月,32.5,25.0,15.0
东莞市楚邦机电工程有限公司,2018-04-03 00:00:00,东莞,93021328,项目经理,项目经理,0.8-1万/月,14.0,10.0,8.0
青峰医药集团有限公司药物研发中心,2018-04-03 00:00:00,异地招聘,86425121,天然药物分析主管、项目经理,项目经理,6-8千/月,11.0,8.0,6.0
华为技术有限公司,2018-04-02 00:00:00,东莞,99980420,不动产高级项目经理 ,项目经理,2.5-3万/月,42.5,30.0,25.0
上海科箭物业服务有限公司,2018-04-02 00:00:00,东莞,96171884,东莞项目经理,项目经理,9-15万/年,16.25,12.5,7.5
广东大山装饰工程有限公司,2018-03-31 00:00:00,东莞-南城区,68220787,项目经理,项目经理,4.5-6千/月,8.25,6.0,4.5
东莞辰达电器有限公司,2018-05-04 00:00:00,东莞,57505646,测试工程师/测试高级工程师,单片机,1-1.5万/月,20.0,15.0,10.0
广东华中科技大学工业技术研究院,2018-05-04 00:00:00,东莞-松山湖区,99716322,嵌入式软件工程师(无人艇团队）,单片机,5-8千/月,10.5,8.0,5.0
小黄狗环保科技有限公司,2018-05-04 00:00:00,东莞,98430087,机器视觉软件工程师,单片机,50-80万/年,87.5,66.66666666666667,41.66666666666667
